LID	Lema	POS	ID	Lema	Sublema	Definição	N.	DLP alinhamento	Exemplo extraído do Sketch Engine	Coocorrente	Observações	Traço(s) Semântico(s)
L4	antigo	adjetivo	DLP-antigo_1-f0dca	antigo		de outra época	10	relativo à Antiguidade, às épocas anteriores à queda do Império Romano	Pégaso, que era um cavalo da Grécia antiga, voava sobre os montes à beira do mar.	Grécia antiga		temporal
							1	que existiu em épocas muito anteriores à atual	O anão contava-lhe histórias do passado, histórias de mouros, guerreiros, navegadores, princesas e reis antigos. 	Lisboa antiga		
						que existe há muito tempo	2	que tem muito tempo de existência 	Mas também nos livros antigos de Ptolomeu e nos livros dos romanos está escrito que ninguém pode passar além do Bojador.			temporal
						que se deixou de usar	6	que já não se usa, que não é atual	Há também antigas linhas de comboio (onde o comboio já não passa) que agora são utilizadas para andar a pé ou para praticar outros desportos.	moeda antiga; forma antiga; caminho antigo		abstrato_ação
						que já deixou de trabalhar numa certa profissão 	5	que deixou determinado estado, profissão ou cargo	Quem está a escrever-lhe esta carta é a sua antiga aluna do 1.º ciclo.			abstrato_ação
L5	branco		DLP-branco_1-86241	branco		que tem a cor da neve, do leite 	1	que tem a cor da neve, da cal, do leite	Sabes porque é que os pandas-gigantes são brancos e pretos? 		"rever 2. (ver a 4)
+ sentido para o que está pálido, lívido.
rever 4. tendo em conta os exemplos seria um produto alimentar refinado.
retirar 5? as combinatórias estão corretas? ou deveriam passar para o nível da entrada?"	concreto
L6	leve		DLP-leve_1-ca9bd	leve		que não é grave	6	que tem pouca importância, pouca gravidade	Acidente ainda causou dois feridos leves 	ferido leve	sentido 9 não será o mesmo do 6? (cf. 8 de ligeiro)	abstrato_estado
						que tem pouco peso	1	que tem pouco peso	Para andares com uma mochila mais leve prepara-a com o que realmente te faz falta para o dia seguinte.		"rever 16 e 17
rever 18 e 19
rever 4 e 5 "	abstrato_estado
						que é calmo, despreocupado, relaxado 	13	que está aliviado, despreocupado	E tinha inveja das algas que baloiçavam ao sabor das correntes com um ar tão leve e feliz.	ar feliz		abstrato_estado
						que é simples, pouco difícil	10	que é simples, despretensioso, pouco carregado de ornamento	Nas férias, gosto de ler histórias leves e divertidas, nada de muito sério. 			abstrato_estado
							11	que trata de assunto banal, pouco profundo, superficial				
						que é suave ou pouco forte	8	que é pouco percetível pelos sentidos; que é ténue, suave, ligeiro, delicado	Até ao dia em que ouviu um leve TOC, TOC! 		rever 8 e 9	abstrato_estado
												
						que é fino; que é pouco espesso	3	que é fino, pouco espesso	Utiliza agasalhos leves.	agasalho leve	"rever exemplos e repensar definição. 
"	abstrato_estado
